document,target_index,recent_count,coarse_category,fine_category,target_token,full_top1_token,compact_top1_token,severity,delta_ce,top1_embedding_cosine,full_correct,compact_correct,full_target_rank,compact_target_rank
pg19:10002,16334,127,content,common_noun, life,",", life,definite_benefit_compact_correct,-0.3801586627960205,0.020840341225266457,False,True,3,1
pg19:10003,16358,127,special,pronoun, we, in, we,definite_benefit_compact_correct,-0.7517392635345459,0.20525595545768738,False,True,5,1
pg19:10003,16370,127,special,question_word, who, of, who,definite_benefit_compact_correct,-0.19718027114868164,0.13331300020217896,False,True,1,1
pg19:10004,16383,127,special,pronoun, the, a, the,definite_benefit_compact_correct,-0.22571218013763428,0.5246529579162598,False,True,2,1
pg19:10005,16336,127,content,common_noun, influence, little, influence,definite_benefit_compact_correct,-0.1376805305480957,0.05215952917933464,False,True,1,1
pg19:10005,16374,127,function,adposition, to,",", to,definite_benefit_compact_correct,0.30307793617248535,0.19059589505195618,False,True,2,1
pg19:10005,16381,127,function,subordinating_conjunction, as, that, as,definite_benefit_compact_correct,-0.22219336032867432,0.049578309059143066,False,True,2,1
pg19:10008,16376,127,special,punctuation,",""",.,",""",definite_benefit_compact_correct,-0.4117166996002197,0.17593303322792053,False,True,2,1
pg19:10,16323,127,content,number, ten, ten, there,definite_harm_full_correct_lost,0.624747633934021,0.07176890224218369,True,False,1,2
pg19:10,16356,127,content,adverb, as, as, when,definite_harm_full_correct_lost,0.9071603417396545,0.2065475583076477,True,False,1,2
pg19:10,16366,127,content,proper_noun,Ab,Ab,H,definite_harm_full_correct_lost,1.3030112981796265,0.08603385835886002,True,False,1,3
pg19:100,16331,127,other,other,   ,   , ,definite_harm_full_correct_lost,5.725839614868164,0.4398787319660187,True,False,1,4
pg19:100,16332,127,content,adjective, Such, Such, And,definite_harm_full_correct_lost,6.418632507324219,0.0626898854970932,True,False,1,8
pg19:100,16356,127,other,other,"


","


",<|endoftext|>,definite_harm_full_correct_lost,1.2588542699813843,0.11760231852531433,True,False,1,2
pg19:100,16357,127,other,other,                    ,                    ,   ,definite_harm_full_correct_lost,8.358728408813477,0.16267049312591553,True,False,1,433
pg19:100,16358,127,other,other, , , *,definite_harm_full_correct_lost,4.05388069152832,0.023738481104373932,True,False,1,6
pg19:100,16359,127,content,number,8,8,1,definite_harm_full_correct_lost,3.1514945030212402,0.259222149848938,True,False,1,7
pg19:100,16360,127,content,number,9,9,.,definite_harm_full_correct_lost,3.0425946712493896,-0.03451160341501236,True,False,1,11
pg19:100,16361,127,other,other,"
","
",.,definite_harm_full_correct_lost,3.0597739219665527,0.2462417483329773,True,False,1,4
pg19:100,16362,127,other,other, , ,   ,definite_harm_full_correct_lost,3.56838059425354,0.4398787319660187,True,False,1,4
pg19:100,16363,127,content,verb, Say, Say, THE,definite_harm_full_correct_lost,8.402555465698242,0.006041492335498333,True,False,1,564
pg19:10002,16345,127,other,other,"
","
",",
",definite_harm_full_correct_lost,1.5485427379608154,0.35103148221969604,True,False,1,3
pg19:10002,16351,127,function,subordinating_conjunction, upon, upon, on,definite_harm_full_correct_lost,0.7978531122207642,0.30548587441444397,True,False,1,5
pg19:10002,16361,127,content,common_noun, door, door, of,definite_harm_full_correct_lost,1.2883950471878052,0.03714057803153992,True,False,1,2
pg19:10003,16333,127,function,determiner, all, all, the,definite_harm_full_correct_lost,1.3678860664367676,0.11322341859340668,True,False,1,4
pg19:10003,16335,127,content,common_noun,classes,classes,ages,definite_harm_full_correct_lost,0.38423675298690796,0.06740616261959076,True,False,1,2
pg19:10003,16363,127,content,verb, do, do,"
",definite_harm_full_correct_lost,0.5465821027755737,-0.0561380572617054,True,False,1,3
pg19:10003,16378,127,special,punctuation,',',"'
",definite_harm_full_correct_lost,-0.06810832023620605,0.2239890843629837,True,False,1,2
pg19:10004,16323,127,function,determiner, the, the, and,definite_harm_full_correct_lost,-0.24192237854003906,0.47468045353889465,True,False,1,2
pg19:10004,16324,127,other,other,"
","
", Church,definite_harm_full_correct_lost,1.1411720514297485,0.02676885388791561,True,False,1,3
pg19:10004,16331,127,content,common_noun, faith, faith, His,definite_harm_full_correct_lost,-0.03963768482208252,0.03604409098625183,True,False,1,2
pg19:10004,16359,127,content,number,2,2,The,definite_harm_full_correct_lost,3.6177854537963867,-0.0783173143863678,True,False,1,24
pg19:10005,16356,127,function,coordinating_conjunction, and, and, in,definite_harm_full_correct_lost,0.5334991216659546,0.274801641702652,True,False,1,2
pg19:10005,16378,127,content,proper_noun, United, United, north,definite_harm_full_correct_lost,1.454146146774292,0.1064581349492073,True,False,1,2
pg19:10007,16369,127,special,pronoun,I,I,"""",definite_harm_full_correct_lost,2.661268472671509,0.12127712368965149,True,False,1,32
