cache_budget,recent_count,coarse_category,severity,changes,documents,mean_delta_ce,mean_embedding_cosine,probabilistic_harm_rate,fraction_of_changes
128,127,content,definite_benefit_compact_correct,2,2,-0.2589195966720581,0.03649993520230055,0.0,0.03571428571428571
128,127,content,definite_harm_full_correct_lost,17,8,2.200296352891361,0.08304418880930718,0.9411764705882353,0.30357142857142855
128,127,content,potential_semantic_change,29,6,0.3316952812260595,0.12621043065305929,0.5172413793103449,0.5178571428571429
128,127,content,surface_or_punctuation,8,5,0.15394296497106552,1.0,0.375,0.14285714285714285
128,127,function,definite_benefit_compact_correct,2,1,0.04044228792190552,0.12008710205554962,0.5,0.09523809523809523
128,127,function,definite_harm_full_correct_lost,4,4,0.6143289804458618,0.2920478470623493,0.75,0.19047619047619047
128,127,function,potential_semantic_change,13,6,0.1939996022444505,0.12732223399843162,0.38461538461538464,0.6190476190476191
128,127,function,surface_or_punctuation,2,2,-0.04060947895050049,1.0000000596046448,0.5,0.09523809523809523
128,127,other,definite_harm_full_correct_lost,8,3,3.5893965363502502,0.22597635514102876,1.0,0.8
128,127,other,surface_or_punctuation,2,2,-0.5962524265050888,0.7109936773777008,0.0,0.2
128,127,special,definite_benefit_compact_correct,4,3,-0.3965871036052704,0.25978873670101166,0.0,0.16666666666666666
128,127,special,definite_harm_full_correct_lost,5,3,0.9396449565887451,0.1927729368209839,0.8,0.20833333333333334
128,127,special,potential_semantic_change,10,5,0.22845284938812255,0.08607730721123516,0.7,0.4166666666666667
128,127,special,surface_or_punctuation,5,4,0.21633874177932738,0.9999999880790711,0.6,0.20833333333333334
512,511,content,definite_benefit_compact_correct,1,1,-0.07034265995025635,0.039386339485645294,0.0,0.022222222222222223
512,511,content,definite_harm_full_correct_lost,8,5,1.1960359439253807,0.12435148656368256,1.0,0.17777777777777778
512,511,content,potential_semantic_change,28,6,0.07900504555021014,0.08699455381637174,0.4642857142857143,0.6222222222222222
512,511,content,surface_or_punctuation,8,5,0.14158201217651367,0.9999999925494194,0.5,0.17777777777777778
512,511,function,definite_benefit_compact_correct,1,1,-0.40634894371032715,0.274801641702652,0.0,0.0625
512,511,function,definite_harm_full_correct_lost,4,4,1.0952428877353668,0.22053041774779558,0.75,0.25
512,511,function,potential_semantic_change,8,6,0.2392013669013977,0.15194046194665134,0.625,0.5
512,511,function,surface_or_punctuation,3,3,0.00023587544759114584,0.7206651171048483,0.3333333333333333,0.1875
512,511,other,definite_harm_full_correct_lost,1,1,0.6584461331367493,0.35103148221969604,1.0,0.25
512,511,other,surface_or_punctuation,3,3,0.16299261649449667,0.8073290785153707,0.3333333333333333,0.75
512,511,special,definite_benefit_compact_correct,4,2,-0.37873363494873047,0.15180639922618866,0.0,0.2222222222222222
512,511,special,definite_harm_full_correct_lost,2,2,0.44938820600509644,0.20766983181238174,1.0,0.1111111111111111
512,511,special,potential_semantic_change,6,4,0.2762705286343892,0.05305499342891077,0.8333333333333334,0.3333333333333333
512,511,special,surface_or_punctuation,6,3,-0.03718721866607666,0.9036645789941152,0.3333333333333333,0.3333333333333333
2048,2047,content,definite_benefit_compact_correct,1,1,-0.47086381912231445,0.05215952917933464,0.0,0.037037037037037035
2048,2047,content,definite_harm_full_correct_lost,3,3,0.5402506192525228,0.10269310077031453,1.0,0.1111111111111111
2048,2047,content,potential_semantic_change,17,6,0.1301285238826976,0.10415094060932889,0.6470588235294118,0.6296296296296297
2048,2047,content,surface_or_punctuation,6,4,0.018310328324635822,1.0,0.3333333333333333,0.2222222222222222
2048,2047,function,definite_harm_full_correct_lost,4,4,0.7105123996734619,0.039371050894260406,1.0,0.36363636363636365
2048,2047,function,potential_semantic_change,6,5,0.12227551142374675,0.08689234250535567,0.5,0.5454545454545454
2048,2047,function,surface_or_punctuation,1,1,-0.25973546504974365,1.0000001192092896,0.0,0.09090909090909091
2048,2047,other,surface_or_punctuation,1,1,-0.20334994792938232,0.9999998807907104,0.0,1.0
2048,2047,special,definite_harm_full_correct_lost,2,2,0.3114607334136963,0.009817932732403278,1.0,0.2222222222222222
2048,2047,special,potential_semantic_change,5,4,-0.018326210975646972,0.038647052738815545,0.6,0.5555555555555556
2048,2047,special,surface_or_punctuation,2,2,-0.08468940854072571,1.0000000596046448,0.5,0.2222222222222222
8192,8191,content,definite_benefit_compact_correct,1,1,-0.17115306854248047,0.05215952917933464,0.0,0.058823529411764705
8192,8191,content,definite_harm_full_correct_lost,3,2,0.4246982932090759,0.2636781831582387,1.0,0.17647058823529413
8192,8191,content,potential_semantic_change,6,4,0.12753780682881674,0.06835516014446814,0.5,0.35294117647058826
8192,8191,content,surface_or_punctuation,7,4,-0.00495960031236921,1.0,0.2857142857142857,0.4117647058823529
8192,8191,function,definite_harm_full_correct_lost,2,2,0.7225995063781738,0.010019933804869652,1.0,0.25
8192,8191,function,potential_semantic_change,3,2,0.06549445788065593,0.22869131962458292,0.3333333333333333,0.375
8192,8191,function,surface_or_punctuation,3,3,-0.0048588911692301435,1.00000003973643,0.3333333333333333,0.375
8192,8191,other,surface_or_punctuation,1,1,-0.16623950004577637,0.9999998807907104,0.0,1.0
8192,8191,special,definite_harm_full_correct_lost,1,1,0.2749307155609131,0.16415487229824066,1.0,0.2
8192,8191,special,potential_semantic_change,1,1,0.1711503267288208,-0.016953643411397934,1.0,0.2
8192,8191,special,surface_or_punctuation,3,3,-0.016811172167460125,0.999999980131785,0.0,0.6
